tau1,tau2,train_auc,test_auc
10,20,0.72,0.5596685465976332
10,21,0.7155555555555555,0.5582643768491125
10,22,0.711111111111111,0.5523761094674556
10,23,0.711111111111111,0.5297360392011834
10,24,0.6888888888888889,0.518075073964497
10,25,0.6977777777777777,0.5183408838757396
10,26,0.6977777777777777,0.5171042899408285
10,27,0.711111111111111,0.5163588664940828
10,28,0.7066666666666668,0.5192249907544378
10,29,0.7111111111111111,0.5266503328402367
10,30,0.72,0.5276500092455622
10,31,0.72,0.528048724112426
10,32,0.7244444444444444,0.5268294656065089
10,33,0.7288888888888888,0.521293685281065
10,34,0.7244444444444444,0.5115222818047337
10,35,0.7244444444444444,0.49962439903846156
10,36,0.7288888888888889,0.494140625
10,37,0.7555555555555555,0.4948976053994082
10,38,0.7466666666666666,0.4978908561390532
10,39,0.7422222222222222,0.4967813886834319
10,40,0.7422222222222221,0.4914651904585799
10,41,0.7288888888888888,0.49178878513313606
10,42,0.7288888888888889,0.4936263406065089
10,43,0.7288888888888889,0.4949900610207101
10,44,0.7466666666666666,0.49941059541420113
10,45,0.7555555555555556,0.5035479844674556
10,46,0.768888888888889,0.5080031897189349
10,47,0.7777777777777778,0.5127993250739644
10,48,0.8044444444444445,0.5173296505177515
10,49,0.8133333333333335,0.5173238720414202
10,50,0.8,0.5133771727071006
11,1,0.7777777777777778,0.4916558801775148
11,2,0.7733333333333334,0.4879692122781065
11,3,0.76,0.4831961908284024
11,4,0.7511111111111112,0.4834273298816568
11,5,0.7377777777777779,0.48404562684911245
11,6,0.7555555555555555,0.487033099112426
11,7,0.768888888888889,0.4951691937869822
11,8,0.7555555555555555,0.512198363535503
11,9,0.7555555555555555,0.537542760724852
11,10,0.7288888888888889,0.5544101331360947
11,12,0.7288888888888889,0.5348673261834319
11,13,0.6844444444444444,0.510516826923077
11,14,0.6933333333333332,0.5043685281065089
11,15,0.7022222222222222,0.4914478550295859
11,16,0.7244444444444444,0.4895698502218935
11,17,0.7155555555555556,0.5129033376479291
11,18,0.7377777777777778,0.5548435188609467
11,19,0.7333333333333334,0.5601828309911243
11,20,0.72,0.5594431860207101
11,21,0.7155555555555556,0.5574149408284024
11,22,0.7111111111111111,0.5536358173076923
11,23,0.6933333333333334,0.5458290957840236
11,24,0.7066666666666668,0.5234490569526626
11,25,0.7022222222222223,0.5209816475591716
11,26,0.7022222222222222,0.522125785872781
11,27,0.6933333333333334,0.5223049186390533
11,28,0.7022222222222223,0.525309726331361
11,29,0.72,0.5280198317307693
11,30,0.7288888888888889,0.5279389330621302
11,31,0.7244444444444444,0.5294760077662721
11,32,0.72,0.5290541789940828
11,33,0.7288888888888888,0.524477625739645
11,34,0.7288888888888889,0.5139145710059172
11,35,0.7244444444444444,0.5015139607988166
11,36,0.7466666666666666,0.5036519970414202
11,37,0.7333333333333333,0.5044320913461539
11,38,0.7377777777777778,0.5053566475591716
11,39,0.7422222222222222,0.5063621024408284
11,40,0.7555555555555555,0.5026234282544378
11,41,0.7377777777777778,0.5015428531804733
11,42,0.7244444444444444,0.5052873058431953
11,43,0.7466666666666667,0.5079165125739644
11,44,0.7511111111111111,0.5078471708579883
11,45,0.7422222222222222,0.5057322485207101
11,46,0.7422222222222223,0.5072866586538461
11,47,0.7644444444444445,0.517659023668639
11,48,0.7777777777777778,0.5180461815828402
11,49,0.7911111111111111,0.5178034855769231
11,50,0.768888888888889,0.5150587093195266
12,1,0.7777777777777779,0.5021900425295859
12,2,0.7644444444444445,0.493805473372781
12,3,0.7644444444444445,0.4878420857988166
12,4,0.7733333333333334,0.4866979474852071
12,5,0.7644444444444445,0.48554225221893493
12,6,0.76,0.4885817307692308
12,7,0.7644444444444445,0.49796019785502954
12,8,0.7644444444444445,0.5060847355769231
12,9,0.7555555555555555,0.5239055565828402
12,10,0.7466666666666666,0.548683663091716
12,11,0.7466666666666666,0.5358612241124261
12,13,0.7288888888888889,0.4962844397189349
12,14,0.7244444444444444,0.4945335613905325
12,15,0.72,0.4894080528846154
12,16,0.7244444444444444,0.49470691568047337
12,17,0.76,0.5320532082100592
12,18,0.7555555555555556,0.5536762666420119
12,19,0.7777777777777778,0.5561725684171597
12,20,0.7511111111111111,0.5551786704881657
12,21,0.7377777777777778,0.5528094951923077
12,22,0.7377777777777778,0.5488454604289941
12,23,0.7244444444444444,0.5431998890532544
12,24,0.7022222222222223,0.5350175665680474
12,25,0.7111111111111111,0.529377773668639
12,26,0.7111111111111111,0.5270432692307692
12,27,0.7066666666666668,0.5254195173816568
12,28,0.7333333333333334,0.5249861316568047
12,29,0.7333333333333334,0.5244371764053254
12,30,0.7333333333333334,0.5272050665680473
12,31,0.7333333333333333,0.5317642843934911
12,32,0.7377777777777778,0.5310593102810651
12,33,0.7377777777777778,0.5242580436390533
12,34,0.7377777777777776,0.5169309356508875
12,35,0.7377777777777778,0.5073560003698225
12,36,0.711111111111111,0.5138221153846154
12,37,0.7155555555555555,0.515145386464497
12,38,0.7155555555555555,0.5144981971153846
12,39,0.7155555555555555,0.513336723372781
12,40,0.7155555555555555,0.5112738073224852
12,41,0.7333333333333333,0.5086619360207101
12,42,0.72,0.5123832747781065
12,43,0.7155555555555556,0.5172198594674556
12,44,0.7288888888888888,0.5153071838017751
12,45,0.7511111111111111,0.5072982156065089
12,46,0.7511111111111111,0.508147651627219
12,47,0.7511111111111111,0.5152378420857988
12,48,0.7555555555555555,0.5170465051775147
12,49,0.7555555555555555,0.517017612795858
12,50,0.7555555555555555,0.5162144045857988
13,1,0.7822222222222223,0.5051255085059172
13,2,0.7822222222222222,0.5000808986686391
13,3,0.768888888888889,0.49302537906804733
13,4,0.7822222222222223,0.4925919933431953
13,5,0.7733333333333334,0.4928404678254438
13,6,0.7733333333333334,0.49315828402366857
13,7,0.7733333333333334,0.49219905695266275
13,8,0.7777777777777779,0.5015833025147929
13,9,0.7644444444444445,0.5177457008136095
13,10,0.76,0.5141803809171597
13,11,0.7511111111111111,0.5119614460059172
13,12,0.7377777777777779,0.4965964774408284
13,14,0.7333333333333334,0.49415218195266275
13,15,0.7244444444444444,0.4931120562130178
13,16,0.7288888888888889,0.5058362610946745
13,17,0.7644444444444445,0.5428127311390533
13,18,0.7866666666666667,0.5575998520710059
13,19,0.808888888888889,0.556161011464497
13,20,0.7777777777777779,0.552029400887574
13,21,0.7511111111111111,0.5501167252218935
13,22,0.7422222222222222,0.5467132026627219
13,23,0.7288888888888889,0.5411485299556213
13,24,0.7066666666666667,0.5383517474112426
13,25,0.7288888888888889,0.5215017104289941
13,26,0.7155555555555556,0.5200166420118344
13,27,0.7155555555555556,0.5193347818047338
13,28,0.7288888888888889,0.5200859837278107
13,29,0.7511111111111112,0.525535086908284
13,30,0.7422222222222222,0.5275055473372781
13,31,0.7422222222222222,0.5270432692307693
13,32,0.7466666666666666,0.5304005639792899
13,33,0.7422222222222223,0.5229001017011834
13,34,0.7422222222222221,0.5130246856508875
13,35,0.7333333333333334,0.5079338480029586
13,36,0.7244444444444444,0.5084943602071006
13,37,0.72,0.5089393028846154
13,38,0.7244444444444444,0.5076507026627219
13,39,0.7377777777777778,0.5042702940088757
13,40,0.7288888888888889,0.5046285595414202
13,41,0.7244444444444444,0.5078298354289942
13,42,0.7288888888888889,0.5103319156804734
13,43,0.7244444444444444,0.5121752496301776
13,44,0.7422222222222222,0.5109270987426036
13,45,0.76,0.5088468472633136
13,46,0.7466666666666667,0.5123543823964497
13,47,0.768888888888889,0.5102683524408284
13,48,0.7644444444444445,0.5124757303994083
13,49,0.7555555555555555,0.5141457100591715
13,50,0.7511111111111112,0.5133887296597633
14,1,0.76,0.5015024038461537
14,2,0.768888888888889,0.4968102810650888
14,3,0.768888888888889,0.49449311205621305
14,4,0.768888888888889,0.4941290680473373
14,5,0.7688888888888888,0.49068509615384615
14,6,0.7733333333333333,0.4880616678994083
14,7,0.7688888888888888,0.49081222263313606
14,8,0.7644444444444445,0.4951171875
14,9,0.7644444444444445,0.49929502588757396
